
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


24/09/2021 20:40:25 CHANNEL has been initialised

24/09/2021 20:40:25 SENDER-1 starts sending data to RECEIVER1
24/09/2021 20:40:25 SENDER-2 starts sending data to RECEIVER2
24/09/2021 20:40:25 SENDER-3 starts sending data to RECEIVER3
24/09/2021 20:40:41 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:41 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-5    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:42 RECEIVER-2  ||  PACKET RECEIVED

24/09/2021 20:40:42 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:42 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:43 SENDER-8    ||  FOUND CHANNEL BUSY
